id,business_name,sector,lga,ward,street,annual_revenue,employee_count,registered
1012,Frazier-Martinez,Transport,Ikeja,Ward 5 Ikeja,Street 10 Ward 5 Ikeja,246933270,317,False
1013,"Barry, Alexander and Conley",Transport,Agege,Ward 4 Agege,Street 5 Ward 4 Agege,453934345,256,False
1014,"Williams, Mckenzie and Dunn",Manufacturing,Eti-Osa,Ward 3 Eti-Osa,Street 8 Ward 3 Eti-Osa,474512956,175,True
1015,White-Young,Finance,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 10 Ward 3 Ifako-Ijaiye,135306360,151,True
1016,"Walter, Cervantes and Moon",Hospitality,Yaba,Ward 3 Yaba,Street 2 Ward 3 Yaba,297353014,113,False
1017,"Clark, Winters and Coleman",Tech,Ajah,Ward 5 Ajah,Street 4 Ward 5 Ajah,460353546,80,False
1018,"Jones, Vaughn and Hernandez",Manufacturing,Yaba,Ward 4 Yaba,Street 8 Ward 4 Yaba,438490424,225,False
1019,Hughes PLC,Real Estate,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 10 Ward 2 Ifako-Ijaiye,406799425,26,False
1020,White-Woodward,Manufacturing,Badagry,Ward 5 Badagry,Street 1 Ward 5 Badagry,71885734,125,False
1021,Myers-Olsen,Real Estate,Eti-Osa,Ward 5 Eti-Osa,Street 8 Ward 5 Eti-Osa,134185735,438,False
1022,Anderson-Robinson,Manufacturing,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 2 Ward 3 Oshodi-Isolo,52445298,193,True
1023,"Silva, Solomon and Thomas",Tech,Ikeja,Ward 4 Ikeja,Street 9 Ward 4 Ikeja,298404650,349,True
1024,Warren-Cunningham,Retail,Apapa,Ward 4 Apapa,Street 9 Ward 4 Apapa,314756455,435,True
1025,"Robinson, Aguilar and Davis",Tech,Eti-Osa,Ward 5 Eti-Osa,Street 10 Ward 5 Eti-Osa,362706760,62,True
1026,"Rogers, Vaughan and Yates",Retail,Agege,Ward 3 Agege,Street 2 Ward 3 Agege,459057543,220,False
1027,Taylor-Robertson,Real Estate,Alimosho,Ward 1 Alimosho,Street 8 Ward 1 Alimosho,428823738,178,True
1028,"Castillo, Ramirez and Stark",Tech,Mushin,Ward 4 Mushin,Street 8 Ward 4 Mushin,201753793,187,True
1029,"Stanton, Carson and Joseph",Manufacturing,Victoria Island,Ward 5 Victoria Island,Street 10 Ward 5 Victoria Island,360454413,477,False
1030,Evans-Holmes,Tech,Agege,Ward 2 Agege,Street 3 Ward 2 Agege,41973759,124,False
1031,Ruiz-Garner,Hospitality,Agege,Ward 2 Agege,Street 9 Ward 2 Agege,204150843,264,True
1032,Mooney-Collier,Tech,Shomolu,Ward 4 Shomolu,Street 8 Ward 4 Shomolu,214698998,350,False
1033,Johnson Ltd,Tech,Surulere,Ward 3 Surulere,Street 9 Ward 3 Surulere,478978340,423,False
1034,"Lutz, Alexander and Davis",Manufacturing,Ikorodu,Ward 4 Ikorodu,Street 9 Ward 4 Ikorodu,421219695,435,True
1035,Harris-Williams,Real Estate,Ajah,Ward 1 Ajah,Street 8 Ward 1 Ajah,39130408,74,False
1036,Harris-Jones,Real Estate,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 6 Ward 3 Ifako-Ijaiye,480232313,13,True
1037,Esparza Inc,Finance,Alimosho,Ward 2 Alimosho,Street 8 Ward 2 Alimosho,211216655,379,False
1038,Li-Gutierrez,Manufacturing,Surulere,Ward 5 Surulere,Street 3 Ward 5 Surulere,343761468,214,False
1039,Thompson-Booth,Transport,Lekki,Ward 1 Lekki,Street 5 Ward 1 Lekki,222189852,36,False
1040,"Mcclain, Woodward and Arias",Transport,Eti-Osa,Ward 4 Eti-Osa,Street 4 Ward 4 Eti-Osa,24120451,281,False
1041,Rodriguez Group,Hospitality,Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,215197972,16,False
1042,"Rich, Cruz and Morgan",Tech,Surulere,Ward 3 Surulere,Street 7 Ward 3 Surulere,295812251,13,False
1043,"Washington, Dickerson and Morgan",Real Estate,Lekki,Ward 4 Lekki,Street 3 Ward 4 Lekki,29541472,25,False
1044,Wallace Ltd,Finance,Alimosho,Ward 1 Alimosho,Street 4 Ward 1 Alimosho,94148831,280,True
1045,Church-Rivera,Hospitality,Eti-Osa,Ward 3 Eti-Osa,Street 6 Ward 3 Eti-Osa,353466453,265,False
1046,Walker Ltd,Real Estate,Somolu,Ward 2 Somolu,Street 4 Ward 2 Somolu,31928603,5,True
1047,"Harmon, Russo and Myers",Finance,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 9 Ward 1 Amuwo-Odofin,368870220,386,True
1048,"Steele, Taylor and Cox",Transport,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 1 Ward 2 Oshodi-Isolo,39412051,95,True
1049,Howard-Ward,Real Estate,Eti-Osa,Ward 4 Eti-Osa,Street 8 Ward 4 Eti-Osa,402586977,100,False
1050,Smith-Johnson,Hospitality,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 10 Ward 4 Oshodi-Isolo,10066451,119,False
1051,Lara-Wong,Tech,Badagry,Ward 4 Badagry,Street 10 Ward 4 Badagry,118882923,359,False
1052,Sanders Ltd,Manufacturing,Lekki,Ward 3 Lekki,Street 3 Ward 3 Lekki,457353964,481,False
1053,"Cunningham, Vang and Gray",Manufacturing,Ikorodu,Ward 3 Ikorodu,Street 10 Ward 3 Ikorodu,235727057,25,False
1054,Martinez PLC,Tech,Lekki,Ward 2 Lekki,Street 10 Ward 2 Lekki,346215234,298,False
1055,Dennis Group,Manufacturing,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 6 Ward 3 Ifako-Ijaiye,295946386,6,False
1056,Miller PLC,Tech,Eti-Osa,Ward 5 Eti-Osa,Street 9 Ward 5 Eti-Osa,405220163,479,True
1057,"Davis, Yoder and Flores",Retail,Ikeja,Ward 3 Ikeja,Street 4 Ward 3 Ikeja,376457769,215,True
1058,"Ward, Warner and Cook",Manufacturing,Somolu,Ward 1 Somolu,Street 2 Ward 1 Somolu,409386511,399,True
1059,Rubio Ltd,Real Estate,Lekki,Ward 1 Lekki,Street 6 Ward 1 Lekki,390764759,48,False
1060,"Kennedy, Harvey and Stephens",Hospitality,Eti-Osa,Ward 4 Eti-Osa,Street 9 Ward 4 Eti-Osa,379367924,123,True
1061,"Waters, Rice and Huerta",Real Estate,Victoria Island,Ward 4 Victoria Island,Street 6 Ward 4 Victoria Island,134736265,390,False
1062,"Humphrey, Graves and Brock",Manufacturing,Ikorodu,Ward 1 Ikorodu,Street 2 Ward 1 Ikorodu,5248065,98,False
1063,"Malone, Ramos and Griffin",Manufacturing,Ajah,Ward 5 Ajah,Street 6 Ward 5 Ajah,103194012,225,True
1064,Tucker-Burns,Manufacturing,Badagry,Ward 5 Badagry,Street 10 Ward 5 Badagry,41653137,152,False
1065,Marshall PLC,Hospitality,Shomolu,Ward 4 Shomolu,Street 8 Ward 4 Shomolu,318280542,485,False
1066,Lopez-Brown,Retail,Surulere,Ward 5 Surulere,Street 3 Ward 5 Surulere,301222841,377,True
1067,Black-Gaines,Transport,Victoria Island,Ward 4 Victoria Island,Street 8 Ward 4 Victoria Island,428424802,109,True
1068,Carlson-Myers,Transport,Ikorodu,Ward 3 Ikorodu,Street 1 Ward 3 Ikorodu,385796192,159,True
1069,Smith Ltd,Tech,Eti-Osa,Ward 2 Eti-Osa,Street 3 Ward 2 Eti-Osa,298016970,138,False
1070,"Zamora, Scott and Daniels",Transport,Alimosho,Ward 3 Alimosho,Street 9 Ward 3 Alimosho,385443429,202,True
1071,Walker Group,Retail,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 2 Ward 3 Amuwo-Odofin,431645955,84,True
1072,Mueller-Hays,Transport,Eti-Osa,Ward 5 Eti-Osa,Street 4 Ward 5 Eti-Osa,376925471,362,False
1073,Ramos Inc,Real Estate,Agege,Ward 2 Agege,Street 9 Ward 2 Agege,54880573,125,False
1074,King-Hobbs,Transport,Victoria Island,Ward 5 Victoria Island,Street 4 Ward 5 Victoria Island,425682254,267,True
1075,Small and Sons,Retail,Alimosho,Ward 2 Alimosho,Street 10 Ward 2 Alimosho,28608880,283,True
1076,"Moses, Hart and Baldwin",Retail,Lekki,Ward 5 Lekki,Street 4 Ward 5 Lekki,297046234,303,False
1077,Griffin LLC,Transport,Badagry,Ward 5 Badagry,Street 6 Ward 5 Badagry,369640603,283,True
1078,Wade Inc,Hospitality,Badagry,Ward 5 Badagry,Street 10 Ward 5 Badagry,453514195,233,True
1079,Black PLC,Finance,Surulere,Ward 1 Surulere,Street 5 Ward 1 Surulere,225346927,322,False
1080,Trevino-Moore,Hospitality,Epe,Ward 3 Epe,Street 3 Ward 3 Epe,396711935,241,True
1081,Vega LLC,Retail,Epe,Ward 3 Epe,Street 8 Ward 3 Epe,294127633,11,True
1082,"Hernandez, Lee and Reed",Hospitality,Ikorodu,Ward 4 Ikorodu,Street 6 Ward 4 Ikorodu,460137498,56,True
1083,Bradford LLC,Tech,Epe,Ward 1 Epe,Street 2 Ward 1 Epe,275630711,462,False
1084,"Walters, Sherman and Jackson",Transport,Ikorodu,Ward 3 Ikorodu,Street 2 Ward 3 Ikorodu,315576850,444,False
1085,White Inc,Manufacturing,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 9 Ward 1 Amuwo-Odofin,386414335,236,False
1086,"Leonard, Smith and Thomas",Transport,Apapa,Ward 5 Apapa,Street 6 Ward 5 Apapa,69959441,238,False
1087,Davis LLC,Finance,Shomolu,Ward 1 Shomolu,Street 7 Ward 1 Shomolu,81249527,144,False
1088,"Reilly, Henry and Lopez",Manufacturing,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 8 Ward 3 Amuwo-Odofin,43348059,177,True
1089,Wang-Villarreal,Hospitality,Badagry,Ward 5 Badagry,Street 5 Ward 5 Badagry,374810546,72,True
1090,Henderson-Carrillo,Transport,Ikorodu,Ward 2 Ikorodu,Street 5 Ward 2 Ikorodu,277940177,327,False
1091,"Cook, Smith and Sharp",Manufacturing,Epe,Ward 4 Epe,Street 6 Ward 4 Epe,41197239,100,True
1092,"Fitzpatrick, Roberts and Long",Real Estate,Ajah,Ward 5 Ajah,Street 4 Ward 5 Ajah,394406380,81,True
1093,Williams-Thomas,Hospitality,Eti-Osa,Ward 4 Eti-Osa,Street 9 Ward 4 Eti-Osa,190425656,479,False
1094,"Martin, Jones and Bates",Transport,Ajah,Ward 5 Ajah,Street 3 Ward 5 Ajah,103480483,22,False
1095,"Huffman, Gordon and Petersen",Manufacturing,Agege,Ward 2 Agege,Street 9 Ward 2 Agege,185121617,83,True
1096,Davis-Brown,Retail,Epe,Ward 4 Epe,Street 5 Ward 4 Epe,48096001,288,True
1097,Parker-Yates,Transport,Eti-Osa,Ward 4 Eti-Osa,Street 3 Ward 4 Eti-Osa,59024664,16,False
1098,"Adams, Dominguez and Fowler",Manufacturing,Epe,Ward 5 Epe,Street 1 Ward 5 Epe,287007407,276,True
1099,Wright Ltd,Manufacturing,Somolu,Ward 2 Somolu,Street 9 Ward 2 Somolu,480816791,430,False
1100,Hansen Inc,Tech,Kosofe,Ward 1 Kosofe,Street 1 Ward 1 Kosofe,451899894,173,True
1101,Mcdaniel Group,Retail,Ikorodu,Ward 2 Ikorodu,Street 9 Ward 2 Ikorodu,476793733,91,True
1102,Reyes Group,Hospitality,Kosofe,Ward 1 Kosofe,Street 9 Ward 1 Kosofe,461675210,174,True
1103,Cruz LLC,Hospitality,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 5 Ward 2 Oshodi-Isolo,306027676,111,True
1104,Kramer Inc,Tech,Mushin,Ward 3 Mushin,Street 9 Ward 3 Mushin,478461408,213,False
1105,Daniels-Davis,Transport,Victoria Island,Ward 2 Victoria Island,Street 3 Ward 2 Victoria Island,15613213,87,True
1106,"Elliott, Walker and Lewis",Hospitality,Agege,Ward 3 Agege,Street 6 Ward 3 Agege,372118166,36,True
1107,"Turner, Anderson and Greer",Tech,Agege,Ward 3 Agege,Street 5 Ward 3 Agege,243163992,146,False
1108,Hudson-Robles,Real Estate,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 2 Ward 4 Oshodi-Isolo,466642755,476,False
1109,White LLC,Hospitality,Ikeja,Ward 4 Ikeja,Street 8 Ward 4 Ikeja,432418049,359,True
1110,Gibson-Jones,Real Estate,Eti-Osa,Ward 5 Eti-Osa,Street 9 Ward 5 Eti-Osa,324383509,142,False
1111,Richardson Ltd,Real Estate,Kosofe,Ward 2 Kosofe,Street 9 Ward 2 Kosofe,144697458,29,False
1112,Torres-Brown,Real Estate,Ajah,Ward 4 Ajah,Street 1 Ward 4 Ajah,99928851,247,False
1113,Joseph-Ramirez,Transport,Eti-Osa,Ward 3 Eti-Osa,Street 5 Ward 3 Eti-Osa,493839369,150,False
1114,Mcclain-Gonzalez,Transport,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 6 Ward 3 Amuwo-Odofin,323022404,387,True
1115,Bowers-Freeman,Tech,Badagry,Ward 2 Badagry,Street 8 Ward 2 Badagry,20656072,36,True
1116,"Patterson, Holden and Fuentes",Real Estate,Victoria Island,Ward 1 Victoria Island,Street 9 Ward 1 Victoria Island,44211378,115,False
1117,Gates-Brown,Manufacturing,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 7 Ward 2 Amuwo-Odofin,357173901,304,False
1118,Fields and Sons,Manufacturing,Lekki,Ward 1 Lekki,Street 5 Ward 1 Lekki,87285729,141,True
1119,"Mccormick, Sanchez and Garrett",Tech,Epe,Ward 1 Epe,Street 5 Ward 1 Epe,233666321,57,True
1120,Sparks Inc,Retail,Agege,Ward 5 Agege,Street 8 Ward 5 Agege,134873810,272,True
1121,"Levy, Navarro and Torres",Manufacturing,Yaba,Ward 1 Yaba,Street 8 Ward 1 Yaba,270892105,316,False
1122,"Martinez, Pearson and Meyer",Manufacturing,Ikeja,Ward 1 Ikeja,Street 8 Ward 1 Ikeja,147485948,167,False
1123,"Barnes, Diaz and Carney",Tech,Agege,Ward 3 Agege,Street 2 Ward 3 Agege,403195458,95,True
1124,"Fox, Martin and Bailey",Real Estate,Somolu,Ward 3 Somolu,Street 6 Ward 3 Somolu,12388055,481,False
1125,Hall-Collins,Real Estate,Alimosho,Ward 4 Alimosho,Street 9 Ward 4 Alimosho,60253257,308,False
1126,"Ayers, Brewer and Anderson",Transport,Surulere,Ward 5 Surulere,Street 6 Ward 5 Surulere,305766063,24,True
1127,Hill and Sons,Real Estate,Ikorodu,Ward 3 Ikorodu,Street 10 Ward 3 Ikorodu,111237975,103,True
1128,"Robles, Brown and Dillon",Transport,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 5 Ward 2 Oshodi-Isolo,138491832,299,False
1129,Boone-Coleman,Manufacturing,Apapa,Ward 5 Apapa,Street 9 Ward 5 Apapa,244269310,283,False
1130,Mejia-Miranda,Tech,Ikorodu,Ward 4 Ikorodu,Street 3 Ward 4 Ikorodu,425964294,492,False
1131,Lee Group,Finance,Victoria Island,Ward 2 Victoria Island,Street 7 Ward 2 Victoria Island,307319544,337,True
1132,Terry-Mcgrath,Tech,Ajah,Ward 5 Ajah,Street 8 Ward 5 Ajah,89513724,444,True
1133,Horne and Sons,Real Estate,Yaba,Ward 4 Yaba,Street 5 Ward 4 Yaba,241793914,359,False
1134,Taylor Inc,Tech,Kosofe,Ward 3 Kosofe,Street 8 Ward 3 Kosofe,155870698,364,False
1135,Levy LLC,Retail,Badagry,Ward 5 Badagry,Street 8 Ward 5 Badagry,254304391,106,True
1136,Shelton Ltd,Finance,Yaba,Ward 1 Yaba,Street 8 Ward 1 Yaba,45872501,22,False
1137,Castillo-Nelson,Transport,Apapa,Ward 1 Apapa,Street 7 Ward 1 Apapa,395750677,213,False
1138,Garcia-Lucas,Manufacturing,Badagry,Ward 3 Badagry,Street 3 Ward 3 Badagry,433759509,428,True
1139,"Valentine, Santiago and Dickson",Hospitality,Lekki,Ward 1 Lekki,Street 6 Ward 1 Lekki,326051108,283,False
1140,"Dominguez, Mills and West",Real Estate,Apapa,Ward 5 Apapa,Street 6 Ward 5 Apapa,490985999,11,False
1141,King-White,Tech,Surulere,Ward 4 Surulere,Street 3 Ward 4 Surulere,191740375,351,True
1142,"Flowers, Ryan and Brown",Tech,Victoria Island,Ward 2 Victoria Island,Street 10 Ward 2 Victoria Island,38278452,111,False
1143,"Hart, Wood and Tucker",Transport,Eti-Osa,Ward 5 Eti-Osa,Street 7 Ward 5 Eti-Osa,119245250,118,False
1144,Galvan-Sparks,Real Estate,Ikeja,Ward 2 Ikeja,Street 4 Ward 2 Ikeja,472578724,133,False
1145,Hurst-Kramer,Transport,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 10 Ward 2 Amuwo-Odofin,472129740,308,False
1146,"Gardner, Sullivan and Townsend",Tech,Surulere,Ward 2 Surulere,Street 7 Ward 2 Surulere,347645928,359,True
1147,"Jenkins, Vargas and Mueller",Tech,Epe,Ward 2 Epe,Street 4 Ward 2 Epe,187215185,427,False
1148,Preston-Rivera,Hospitality,Apapa,Ward 3 Apapa,Street 9 Ward 3 Apapa,168500605,37,False
1149,Richards Inc,Manufacturing,Alimosho,Ward 3 Alimosho,Street 4 Ward 3 Alimosho,467240024,93,True
1150,Perez Ltd,Hospitality,Yaba,Ward 1 Yaba,Street 7 Ward 1 Yaba,310160790,292,True
1151,Bell PLC,Manufacturing,Mushin,Ward 3 Mushin,Street 10 Ward 3 Mushin,247891753,110,False
1152,"Bishop, Miller and Santos",Real Estate,Somolu,Ward 1 Somolu,Street 4 Ward 1 Somolu,448284910,346,False
1153,"Brown, Jones and Mclaughlin",Hospitality,Ikorodu,Ward 3 Ikorodu,Street 2 Ward 3 Ikorodu,259460183,314,False
1154,Stein-Miller,Tech,Mushin,Ward 2 Mushin,Street 7 Ward 2 Mushin,386624520,358,True
1155,Bartlett-King,Retail,Ikeja,Ward 1 Ikeja,Street 3 Ward 1 Ikeja,123480368,188,False
1156,Torres-James,Real Estate,Epe,Ward 1 Epe,Street 8 Ward 1 Epe,113184921,159,False
1157,Morrison Group,Real Estate,Yaba,Ward 4 Yaba,Street 8 Ward 4 Yaba,62248932,229,False
1158,Richardson Inc,Transport,Kosofe,Ward 5 Kosofe,Street 4 Ward 5 Kosofe,168684097,316,False
1159,Davis-Hines,Finance,Lekki,Ward 4 Lekki,Street 1 Ward 4 Lekki,264342883,248,False
1160,Odonnell and Sons,Transport,Badagry,Ward 4 Badagry,Street 5 Ward 4 Badagry,306861810,468,False
1161,Robbins Inc,Transport,Somolu,Ward 4 Somolu,Street 3 Ward 4 Somolu,54164449,87,False
1162,Hampton-Norton,Retail,Apapa,Ward 1 Apapa,Street 8 Ward 1 Apapa,249997979,247,True
1163,"Chavez, Kelly and Miller",Tech,Surulere,Ward 5 Surulere,Street 8 Ward 5 Surulere,25942972,85,True
1164,Wagner PLC,Real Estate,Shomolu,Ward 5 Shomolu,Street 9 Ward 5 Shomolu,109156878,377,False
1165,"Jackson, Webster and Oneill",Hospitality,Kosofe,Ward 1 Kosofe,Street 1 Ward 1 Kosofe,322494368,143,True
1166,Mcdonald PLC,Hospitality,Alimosho,Ward 1 Alimosho,Street 8 Ward 1 Alimosho,428106226,299,False
1167,Wood Inc,Transport,Surulere,Ward 1 Surulere,Street 9 Ward 1 Surulere,249554332,314,False
1168,"Graham, Blackwell and Cordova",Tech,Surulere,Ward 1 Surulere,Street 3 Ward 1 Surulere,486241047,51,True
1169,Williams-Chen,Retail,Victoria Island,Ward 3 Victoria Island,Street 10 Ward 3 Victoria Island,124069785,469,True
1170,Rodriguez and Sons,Retail,Shomolu,Ward 1 Shomolu,Street 6 Ward 1 Shomolu,422819929,111,True
1171,Proctor LLC,Hospitality,Agege,Ward 5 Agege,Street 6 Ward 5 Agege,273931594,69,False
1172,"Gill, Wallace and Walker",Tech,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 1 Ward 1 Ifako-Ijaiye,59307271,473,False
1173,Bell-Christian,Tech,Badagry,Ward 4 Badagry,Street 5 Ward 4 Badagry,231362696,66,False
1174,"Garcia, Richardson and Reyes",Hospitality,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,331853772,239,False
1175,Rubio-Hardy,Real Estate,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 9 Ward 1 Amuwo-Odofin,101590416,124,True
1176,Warren LLC,Hospitality,Apapa,Ward 5 Apapa,Street 10 Ward 5 Apapa,340809613,67,True
1177,"Castillo, Anderson and Martinez",Retail,Kosofe,Ward 4 Kosofe,Street 4 Ward 4 Kosofe,350964511,98,False
1178,Evans Group,Finance,Victoria Island,Ward 1 Victoria Island,Street 6 Ward 1 Victoria Island,358362621,458,True
1179,Morales Ltd,Real Estate,Ajah,Ward 5 Ajah,Street 5 Ward 5 Ajah,334947177,368,True
1180,Frederick Inc,Transport,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 10 Ward 5 Oshodi-Isolo,149391573,350,True
1181,"Hernandez, Morris and Nelson",Hospitality,Eti-Osa,Ward 3 Eti-Osa,Street 4 Ward 3 Eti-Osa,8612201,486,True
1182,Henry-Nixon,Manufacturing,Badagry,Ward 1 Badagry,Street 6 Ward 1 Badagry,427168615,122,False
1183,Porter Inc,Tech,Badagry,Ward 4 Badagry,Street 10 Ward 4 Badagry,397560991,226,True
1184,Ramos-Reynolds,Transport,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 7 Ward 4 Oshodi-Isolo,269302999,48,True
1185,Mccann-Russell,Real Estate,Agege,Ward 1 Agege,Street 7 Ward 1 Agege,164138963,372,True
1186,Parker and Sons,Finance,Ajah,Ward 3 Ajah,Street 6 Ward 3 Ajah,369259066,137,True
1187,Taylor Inc,Transport,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 7 Ward 4 Ifako-Ijaiye,72967409,452,True
1188,"Olson, Smith and Simpson",Tech,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 5 Ward 3 Oshodi-Isolo,302582826,115,True
1189,Dalton-Murphy,Retail,Epe,Ward 2 Epe,Street 7 Ward 2 Epe,494398740,455,True
1190,Brown-Smith,Manufacturing,Yaba,Ward 3 Yaba,Street 3 Ward 3 Yaba,66123970,422,False
1191,Swanson-Taylor,Finance,Yaba,Ward 1 Yaba,Street 9 Ward 1 Yaba,141669357,347,False
1192,"Sanchez, Saunders and Moon",Transport,Somolu,Ward 2 Somolu,Street 8 Ward 2 Somolu,65223301,438,True
1193,"Clark, Elliott and Orozco",Real Estate,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 7 Ward 1 Amuwo-Odofin,413141622,414,True
1194,Wilkins-Jones,Transport,Shomolu,Ward 2 Shomolu,Street 9 Ward 2 Shomolu,403730439,228,False
1195,"Glover, Evans and Moore",Retail,Ikorodu,Ward 2 Ikorodu,Street 10 Ward 2 Ikorodu,98973579,383,True
1196,Anderson Ltd,Manufacturing,Shomolu,Ward 2 Shomolu,Street 6 Ward 2 Shomolu,233991503,402,True
1197,Lopez-Stewart,Tech,Kosofe,Ward 1 Kosofe,Street 3 Ward 1 Kosofe,28745034,437,True
1198,"Donovan, Little and Martinez",Tech,Ajah,Ward 4 Ajah,Street 9 Ward 4 Ajah,26852028,197,True
1199,Hall LLC,Transport,Shomolu,Ward 2 Shomolu,Street 5 Ward 2 Shomolu,408332882,53,True
1200,Coleman-Bowen,Real Estate,Kosofe,Ward 5 Kosofe,Street 3 Ward 5 Kosofe,31879899,23,False
1201,Collier-Hicks,Manufacturing,Somolu,Ward 1 Somolu,Street 3 Ward 1 Somolu,332427012,434,False
1202,"Armstrong, Holder and Miller",Retail,Lekki,Ward 5 Lekki,Street 3 Ward 5 Lekki,274144848,225,True
1203,"Bowen, Griffin and Rodriguez",Manufacturing,Alimosho,Ward 2 Alimosho,Street 3 Ward 2 Alimosho,465359292,231,False
1204,Richardson-Mason,Tech,Ajah,Ward 2 Ajah,Street 9 Ward 2 Ajah,210433744,111,True
1205,"Jackson, Dixon and Jones",Transport,Ikeja,Ward 2 Ikeja,Street 4 Ward 2 Ikeja,196564213,232,True
1206,May Group,Retail,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 10 Ward 4 Amuwo-Odofin,248946997,148,True
1207,"Hunter, White and Rodriguez",Retail,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 9 Ward 4 Ifako-Ijaiye,397368587,191,True
1208,"Davis, Montgomery and Mosley",Transport,Somolu,Ward 2 Somolu,Street 7 Ward 2 Somolu,314575474,488,False
1209,Garcia-Smith,Tech,Mushin,Ward 3 Mushin,Street 8 Ward 3 Mushin,276385901,13,True
1210,Garcia-Snow,Retail,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 6 Ward 4 Oshodi-Isolo,247326452,227,True
1211,Payne-Jordan,Manufacturing,Yaba,Ward 1 Yaba,Street 9 Ward 1 Yaba,345935840,12,False
1212,Le and Sons,Finance,Somolu,Ward 1 Somolu,Street 1 Ward 1 Somolu,273163261,149,False
1213,Price-Cohen,Manufacturing,Yaba,Ward 5 Yaba,Street 4 Ward 5 Yaba,436215738,263,False
1214,Blair-Hampton,Transport,Shomolu,Ward 1 Shomolu,Street 10 Ward 1 Shomolu,250031162,316,False
1215,Farmer Group,Retail,Victoria Island,Ward 4 Victoria Island,Street 4 Ward 4 Victoria Island,206630758,27,False
1216,"Carney, Cox and Woodard",Hospitality,Surulere,Ward 3 Surulere,Street 2 Ward 3 Surulere,31446964,420,True
1217,"Barnett, Skinner and Obrien",Hospitality,Agege,Ward 2 Agege,Street 7 Ward 2 Agege,280495545,434,True
1218,Jimenez-Edwards,Finance,Alimosho,Ward 3 Alimosho,Street 3 Ward 3 Alimosho,297532501,454,True
1219,Butler-Adkins,Transport,Surulere,Ward 3 Surulere,Street 7 Ward 3 Surulere,449746156,91,True
1220,Robinson-Martin,Hospitality,Surulere,Ward 4 Surulere,Street 7 Ward 4 Surulere,65228814,258,False
1221,Thomas Inc,Retail,Surulere,Ward 4 Surulere,Street 6 Ward 4 Surulere,180529105,427,True
1222,Nguyen-Rivera,Tech,Kosofe,Ward 3 Kosofe,Street 3 Ward 3 Kosofe,250530272,22,False
1223,White Inc,Manufacturing,Agege,Ward 5 Agege,Street 5 Ward 5 Agege,360163456,233,False
1224,Shaw-Washington,Manufacturing,Epe,Ward 5 Epe,Street 9 Ward 5 Epe,177682423,482,True
1225,"Valentine, Acevedo and Davis",Finance,Surulere,Ward 3 Surulere,Street 8 Ward 3 Surulere,158511096,457,True
1226,"Daniel, Escobar and Woods",Finance,Lekki,Ward 5 Lekki,Street 1 Ward 5 Lekki,215102829,162,False
1227,"Carter, Sandoval and Wilson",Hospitality,Shomolu,Ward 2 Shomolu,Street 5 Ward 2 Shomolu,21236225,284,False
1228,"Walker, Miller and Obrien",Hospitality,Victoria Island,Ward 5 Victoria Island,Street 3 Ward 5 Victoria Island,248046259,390,True
1229,"Lee, Scott and Soto",Manufacturing,Kosofe,Ward 2 Kosofe,Street 1 Ward 2 Kosofe,348642349,168,False
1230,Rollins-Miller,Finance,Shomolu,Ward 1 Shomolu,Street 1 Ward 1 Shomolu,285229420,142,True
1231,Sullivan-Bauer,Real Estate,Mushin,Ward 3 Mushin,Street 5 Ward 3 Mushin,41409395,133,True
1232,Sherman Ltd,Finance,Mushin,Ward 1 Mushin,Street 1 Ward 1 Mushin,437992430,31,False
1233,Johns Group,Tech,Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,198600513,286,True
1234,Waters PLC,Real Estate,Surulere,Ward 4 Surulere,Street 1 Ward 4 Surulere,188252530,447,True
