id,owner_id,lga,ward,street,property_type,estimated_value
2546,2546,Lekki,Ward 1 Lekki,Street 9 Ward 1 Lekki,Commercial,30708912.12
2547,2547,Eti-Osa,Ward 5 Eti-Osa,Street 4 Ward 5 Eti-Osa,Residential,16260441.57
2548,2548,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 10 Ward 3 Oshodi-Isolo,Residential,12199654.13
2549,2549,Ajah,Ward 3 Ajah,Street 9 Ward 3 Ajah,Commercial,1716149.19
2550,2550,Badagry,Ward 1 Badagry,Street 3 Ward 1 Badagry,Commercial,12103131.55
2551,2551,Victoria Island,Ward 3 Victoria Island,Street 4 Ward 3 Victoria Island,Commercial,53652821.87
2552,2552,Surulere,Ward 1 Surulere,Street 9 Ward 1 Surulere,Commercial,13801289.82
2553,2553,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 6 Ward 5 Amuwo-Odofin,Residential,3543333.12
2554,2554,Epe,Ward 1 Epe,Street 9 Ward 1 Epe,Commercial,1519271.15
2555,2555,Agege,Ward 4 Agege,Street 9 Ward 4 Agege,Residential,6683275.42
2556,2556,Epe,Ward 4 Epe,Street 7 Ward 4 Epe,Commercial,7307151.34
2557,2557,Epe,Ward 3 Epe,Street 9 Ward 3 Epe,Commercial,13444302.66
2558,2558,Agege,Ward 1 Agege,Street 1 Ward 1 Agege,Residential,6325270.4
2559,2559,Yaba,Ward 3 Yaba,Street 10 Ward 3 Yaba,Commercial,18009752.54
2560,2560,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 6 Ward 5 Oshodi-Isolo,Residential,1411157.23
2561,2561,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 6 Ward 5 Oshodi-Isolo,Residential,4914047.97
2562,2562,Badagry,Ward 5 Badagry,Street 9 Ward 5 Badagry,Commercial,1350559.73
2563,2563,Ikorodu,Ward 3 Ikorodu,Street 2 Ward 3 Ikorodu,Residential,7455400.52
2564,2564,Eti-Osa,Ward 2 Eti-Osa,Street 9 Ward 2 Eti-Osa,Commercial,11661810.25
2565,2565,Mushin,Ward 3 Mushin,Street 4 Ward 3 Mushin,Commercial,9164711.53
2566,2566,Kosofe,Ward 2 Kosofe,Street 3 Ward 2 Kosofe,Residential,13203143.21
2567,2567,Epe,Ward 1 Epe,Street 1 Ward 1 Epe,Residential,5592318.74
2568,2568,Yaba,Ward 5 Yaba,Street 10 Ward 5 Yaba,Commercial,16535682.61
2569,2569,Kosofe,Ward 2 Kosofe,Street 10 Ward 2 Kosofe,Commercial,506929.46
2570,2570,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 5 Ward 2 Ifako-Ijaiye,Residential,7816146.28
2571,2571,Epe,Ward 1 Epe,Street 2 Ward 1 Epe,Residential,1530930.0
2572,2572,Surulere,Ward 1 Surulere,Street 7 Ward 1 Surulere,Residential,34057761.42
2573,2573,Ajah,Ward 1 Ajah,Street 9 Ward 1 Ajah,Commercial,11246691.19
2574,2574,Ajah,Ward 5 Ajah,Street 8 Ward 5 Ajah,Residential,1313838.13
2575,2575,Agege,Ward 4 Agege,Street 8 Ward 4 Agege,Commercial,9246159.63
2576,2576,Ajah,Ward 2 Ajah,Street 10 Ward 2 Ajah,Commercial,1371405.84
2577,2577,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 3 Ward 1 Amuwo-Odofin,Residential,12556232.4
2578,2578,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 1 Ward 4 Oshodi-Isolo,Residential,1945479.62
2579,2579,Victoria Island,Ward 3 Victoria Island,Street 9 Ward 3 Victoria Island,Commercial,35153330.25
2580,2580,Ajah,Ward 1 Ajah,Street 10 Ward 1 Ajah,Residential,8463528.06
2581,2581,Agege,Ward 5 Agege,Street 5 Ward 5 Agege,Residential,8082638.34
2582,2582,Ikorodu,Ward 2 Ikorodu,Street 4 Ward 2 Ikorodu,Residential,2798017.79
2583,2583,Kosofe,Ward 1 Kosofe,Street 1 Ward 1 Kosofe,Commercial,3965717.47
2584,2584,Alimosho,Ward 3 Alimosho,Street 3 Ward 3 Alimosho,Commercial,5238798.39
2585,2585,Surulere,Ward 3 Surulere,Street 1 Ward 3 Surulere,Commercial,27180370.93
2586,2586,Kosofe,Ward 1 Kosofe,Street 8 Ward 1 Kosofe,Commercial,13245817.85
2587,2587,Ikorodu,Ward 3 Ikorodu,Street 4 Ward 3 Ikorodu,Residential,8286965.64
2588,2588,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 4 Ward 1 Ifako-Ijaiye,Commercial,1202175.51
2589,2589,Surulere,Ward 3 Surulere,Street 4 Ward 3 Surulere,Commercial,1826422.45
2590,2590,Epe,Ward 3 Epe,Street 9 Ward 3 Epe,Residential,13539119.54
2591,2591,Shomolu,Ward 3 Shomolu,Street 9 Ward 3 Shomolu,Residential,23890384.97
2592,2592,Somolu,Ward 1 Somolu,Street 5 Ward 1 Somolu,Commercial,1519695.58
2593,2593,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 3 Ward 2 Ifako-Ijaiye,Residential,9570246.52
2594,2594,Yaba,Ward 4 Yaba,Street 2 Ward 4 Yaba,Commercial,18100297.98
2595,2595,Victoria Island,Ward 2 Victoria Island,Street 5 Ward 2 Victoria Island,Residential,16387580.3
2596,2596,Victoria Island,Ward 5 Victoria Island,Street 10 Ward 5 Victoria Island,Residential,45673384.22
2597,2597,Yaba,Ward 2 Yaba,Street 6 Ward 2 Yaba,Commercial,18572382.02
2598,2598,Yaba,Ward 4 Yaba,Street 9 Ward 4 Yaba,Residential,24604893.36
2599,2599,Mushin,Ward 2 Mushin,Street 9 Ward 2 Mushin,Residential,10424565.7
2600,2600,Agege,Ward 5 Agege,Street 4 Ward 5 Agege,Commercial,11592962.29
2601,2601,Epe,Ward 5 Epe,Street 9 Ward 5 Epe,Commercial,671954.24
2602,2602,Lekki,Ward 3 Lekki,Street 8 Ward 3 Lekki,Commercial,10870291.27
2603,2603,Epe,Ward 1 Epe,Street 8 Ward 1 Epe,Residential,12719456.79
2604,2604,Ajah,Ward 5 Ajah,Street 8 Ward 5 Ajah,Residential,9430598.04
2605,2605,Mushin,Ward 4 Mushin,Street 3 Ward 4 Mushin,Residential,8571458.64
2606,2606,Apapa,Ward 4 Apapa,Street 7 Ward 4 Apapa,Commercial,3255825.1
2607,2607,Somolu,Ward 5 Somolu,Street 9 Ward 5 Somolu,Commercial,1897985.87
2608,2608,Ikeja,Ward 4 Ikeja,Street 8 Ward 4 Ikeja,Commercial,29306327.69
2609,2609,Mushin,Ward 2 Mushin,Street 2 Ward 2 Mushin,Commercial,8298182.66
2610,2610,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 7 Ward 4 Amuwo-Odofin,Commercial,829350.77
2611,2611,Shomolu,Ward 3 Shomolu,Street 3 Ward 3 Shomolu,Commercial,7847052.57
2612,2612,Badagry,Ward 2 Badagry,Street 2 Ward 2 Badagry,Residential,13597602.27
2613,2613,Epe,Ward 2 Epe,Street 8 Ward 2 Epe,Commercial,6416541.0
2614,2614,Surulere,Ward 5 Surulere,Street 4 Ward 5 Surulere,Commercial,20684767.17
2615,2615,Ikorodu,Ward 4 Ikorodu,Street 4 Ward 4 Ikorodu,Commercial,4628879.58
2616,2616,Somolu,Ward 2 Somolu,Street 6 Ward 2 Somolu,Commercial,20844934.57
2617,2617,Alimosho,Ward 5 Alimosho,Street 3 Ward 5 Alimosho,Commercial,8132347.18
2618,2618,Kosofe,Ward 1 Kosofe,Street 2 Ward 1 Kosofe,Residential,12773815.69
2619,2619,Lekki,Ward 2 Lekki,Street 3 Ward 2 Lekki,Residential,22657207.08
2620,2620,Kosofe,Ward 2 Kosofe,Street 1 Ward 2 Kosofe,Commercial,16500683.21
2621,2621,Kosofe,Ward 4 Kosofe,Street 10 Ward 4 Kosofe,Commercial,5916405.57
2622,2622,Ajah,Ward 5 Ajah,Street 1 Ward 5 Ajah,Commercial,8947091.25
2623,2623,Yaba,Ward 1 Yaba,Street 4 Ward 1 Yaba,Residential,11718852.74
2624,2624,Ajah,Ward 1 Ajah,Street 4 Ward 1 Ajah,Commercial,9317630.28
2625,2625,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 9 Ward 4 Ifako-Ijaiye,Residential,22718292.72
2626,2626,Kosofe,Ward 5 Kosofe,Street 9 Ward 5 Kosofe,Residential,4307108.84
2627,2627,Yaba,Ward 1 Yaba,Street 4 Ward 1 Yaba,Commercial,11059472.94
2628,2628,Yaba,Ward 3 Yaba,Street 2 Ward 3 Yaba,Residential,10538385.9
2629,2629,Somolu,Ward 3 Somolu,Street 3 Ward 3 Somolu,Commercial,4642355.85
2630,2630,Apapa,Ward 3 Apapa,Street 3 Ward 3 Apapa,Residential,6589631.46
2631,2631,Ikorodu,Ward 3 Ikorodu,Street 2 Ward 3 Ikorodu,Commercial,10895914.86
2632,2632,Victoria Island,Ward 2 Victoria Island,Street 2 Ward 2 Victoria Island,Residential,32040973.61
2633,2633,Lekki,Ward 3 Lekki,Street 1 Ward 3 Lekki,Residential,29470287.79
2634,2634,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 8 Ward 4 Oshodi-Isolo,Commercial,9693630.54
2635,2635,Yaba,Ward 4 Yaba,Street 8 Ward 4 Yaba,Commercial,32160330.38
2636,2636,Ikeja,Ward 5 Ikeja,Street 8 Ward 5 Ikeja,Residential,31506625.73
2637,2637,Ikorodu,Ward 2 Ikorodu,Street 1 Ward 2 Ikorodu,Residential,3550589.18
2638,2638,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 7 Ward 5 Oshodi-Isolo,Residential,11628677.73
2639,2639,Badagry,Ward 5 Badagry,Street 9 Ward 5 Badagry,Commercial,10697336.78
2640,2640,Mushin,Ward 2 Mushin,Street 3 Ward 2 Mushin,Commercial,12010403.08
2641,2641,Ikorodu,Ward 1 Ikorodu,Street 6 Ward 1 Ikorodu,Residential,6862601.91
2642,2642,Somolu,Ward 4 Somolu,Street 10 Ward 4 Somolu,Commercial,1549313.34
2643,2643,Shomolu,Ward 1 Shomolu,Street 7 Ward 1 Shomolu,Residential,18079332.18
2644,2644,Ikorodu,Ward 1 Ikorodu,Street 2 Ward 1 Ikorodu,Residential,4542758.37
2645,2645,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 8 Ward 2 Oshodi-Isolo,Commercial,12518380.86
2646,2646,Victoria Island,Ward 2 Victoria Island,Street 10 Ward 2 Victoria Island,Residential,17557008.14
2647,2647,Eti-Osa,Ward 3 Eti-Osa,Street 2 Ward 3 Eti-Osa,Residential,21082410.32
2648,2648,Ajah,Ward 3 Ajah,Street 1 Ward 3 Ajah,Commercial,21851401.76
2649,2649,Eti-Osa,Ward 5 Eti-Osa,Street 3 Ward 5 Eti-Osa,Residential,53027210.67
2650,2650,Shomolu,Ward 1 Shomolu,Street 3 Ward 1 Shomolu,Commercial,8574564.64
2651,2651,Somolu,Ward 5 Somolu,Street 2 Ward 5 Somolu,Residential,12393265.9
2652,2652,Kosofe,Ward 4 Kosofe,Street 3 Ward 4 Kosofe,Residential,5506701.87
2653,2653,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 3 Ward 1 Oshodi-Isolo,Residential,15691521.01
2654,2654,Mushin,Ward 2 Mushin,Street 1 Ward 2 Mushin,Commercial,10130877.45
2655,2655,Mushin,Ward 4 Mushin,Street 7 Ward 4 Mushin,Residential,4055931.94
2656,2656,Eti-Osa,Ward 4 Eti-Osa,Street 3 Ward 4 Eti-Osa,Commercial,14868923.14
2657,2657,Ajah,Ward 4 Ajah,Street 9 Ward 4 Ajah,Residential,1592283.42
2658,2658,Ikeja,Ward 5 Ikeja,Street 4 Ward 5 Ikeja,Residential,8923927.9
2659,2659,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 1 Ward 3 Ifako-Ijaiye,Residential,8531008.0
2660,2660,Yaba,Ward 3 Yaba,Street 7 Ward 3 Yaba,Commercial,1119413.85
2661,2661,Alimosho,Ward 3 Alimosho,Street 4 Ward 3 Alimosho,Commercial,10506864.4
2662,2662,Agege,Ward 2 Agege,Street 3 Ward 2 Agege,Residential,3311108.94
2663,2663,Ajah,Ward 5 Ajah,Street 2 Ward 5 Ajah,Residential,9890563.6
2664,2664,Kosofe,Ward 2 Kosofe,Street 7 Ward 2 Kosofe,Commercial,11205403.83
2665,2665,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 8 Ward 1 Oshodi-Isolo,Commercial,2728010.55
2666,2666,Ikeja,Ward 3 Ikeja,Street 1 Ward 3 Ikeja,Residential,36496164.36
2667,2667,Yaba,Ward 4 Yaba,Street 5 Ward 4 Yaba,Residential,12051274.93
2668,2668,Ajah,Ward 4 Ajah,Street 8 Ward 4 Ajah,Residential,14959783.49
2669,2669,Badagry,Ward 2 Badagry,Street 2 Ward 2 Badagry,Residential,677737.16
2670,2670,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 5 Ward 1 Ifako-Ijaiye,Commercial,13807019.85
2671,2671,Apapa,Ward 1 Apapa,Street 8 Ward 1 Apapa,Residential,3275479.11
2672,2672,Ajah,Ward 5 Ajah,Street 4 Ward 5 Ajah,Commercial,5359747.15
2673,2673,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 3 Ward 3 Ifako-Ijaiye,Residential,14007853.32
2674,2674,Ajah,Ward 1 Ajah,Street 7 Ward 1 Ajah,Commercial,1319265.29
2675,2675,Ikeja,Ward 3 Ikeja,Street 9 Ward 3 Ikeja,Residential,16976613.79
2676,2676,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 9 Ward 2 Oshodi-Isolo,Residential,21458945.54
2677,2677,Kosofe,Ward 3 Kosofe,Street 10 Ward 3 Kosofe,Residential,11841925.96
2678,2678,Shomolu,Ward 1 Shomolu,Street 7 Ward 1 Shomolu,Residential,19429748.63
2679,2679,Kosofe,Ward 1 Kosofe,Street 6 Ward 1 Kosofe,Residential,12065599.86
2680,2680,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 2 Ward 1 Ifako-Ijaiye,Commercial,2408091.79
2681,2681,Mushin,Ward 2 Mushin,Street 2 Ward 2 Mushin,Residential,20554569.61
2682,2682,Eti-Osa,Ward 2 Eti-Osa,Street 10 Ward 2 Eti-Osa,Commercial,33062264.66
2683,2683,Ikeja,Ward 1 Ikeja,Street 4 Ward 1 Ikeja,Commercial,16149457.93
2684,2684,Somolu,Ward 4 Somolu,Street 5 Ward 4 Somolu,Residential,10868151.16
2685,2685,Badagry,Ward 2 Badagry,Street 6 Ward 2 Badagry,Residential,22267276.66
2686,2686,Surulere,Ward 4 Surulere,Street 10 Ward 4 Surulere,Commercial,13211086.22
2687,2687,Kosofe,Ward 4 Kosofe,Street 2 Ward 4 Kosofe,Residential,2916715.31
2688,2688,Ikeja,Ward 5 Ikeja,Street 4 Ward 5 Ikeja,Residential,8634514.72
2689,2689,Kosofe,Ward 1 Kosofe,Street 10 Ward 1 Kosofe,Residential,11415880.28
2690,2690,Lekki,Ward 1 Lekki,Street 2 Ward 1 Lekki,Residential,36811217.31
2691,2691,Somolu,Ward 1 Somolu,Street 2 Ward 1 Somolu,Commercial,17504760.31
2692,2692,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 10 Ward 4 Amuwo-Odofin,Commercial,8413206.69
2693,2693,Victoria Island,Ward 2 Victoria Island,Street 2 Ward 2 Victoria Island,Residential,49921459.81
2694,2694,Eti-Osa,Ward 1 Eti-Osa,Street 5 Ward 1 Eti-Osa,Residential,2364293.14
2695,2695,Shomolu,Ward 5 Shomolu,Street 6 Ward 5 Shomolu,Residential,4793471.64
2696,2696,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 3 Ward 5 Ifako-Ijaiye,Commercial,22784580.45
2697,2697,Ikorodu,Ward 5 Ikorodu,Street 9 Ward 5 Ikorodu,Residential,12063829.25
2698,2698,Eti-Osa,Ward 5 Eti-Osa,Street 2 Ward 5 Eti-Osa,Commercial,30939950.33
2699,2699,Mushin,Ward 5 Mushin,Street 2 Ward 5 Mushin,Residential,2024502.67
2700,2700,Agege,Ward 5 Agege,Street 6 Ward 5 Agege,Commercial,8373526.77
2701,2701,Ikorodu,Ward 4 Ikorodu,Street 5 Ward 4 Ikorodu,Commercial,1333462.81
2702,2702,Alimosho,Ward 3 Alimosho,Street 1 Ward 3 Alimosho,Residential,5465666.57
2703,2703,Victoria Island,Ward 2 Victoria Island,Street 6 Ward 2 Victoria Island,Residential,15673654.06
2704,2704,Victoria Island,Ward 2 Victoria Island,Street 9 Ward 2 Victoria Island,Commercial,3785836.87
2705,2705,Kosofe,Ward 5 Kosofe,Street 10 Ward 5 Kosofe,Commercial,25106177.02
2706,2706,Agege,Ward 5 Agege,Street 9 Ward 5 Agege,Residential,11491899.02
2707,2707,Kosofe,Ward 1 Kosofe,Street 9 Ward 1 Kosofe,Commercial,5567069.48
2708,2708,Yaba,Ward 2 Yaba,Street 3 Ward 2 Yaba,Residential,23846888.44
2709,2709,Shomolu,Ward 2 Shomolu,Street 6 Ward 2 Shomolu,Residential,7970693.0
2710,2710,Agege,Ward 2 Agege,Street 1 Ward 2 Agege,Residential,4328898.81
2711,2711,Mushin,Ward 3 Mushin,Street 4 Ward 3 Mushin,Residential,2078228.34
2712,2712,Eti-Osa,Ward 4 Eti-Osa,Street 8 Ward 4 Eti-Osa,Residential,54266320.17
2713,2713,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 3 Ward 5 Oshodi-Isolo,Commercial,10471921.05
2714,2714,Eti-Osa,Ward 3 Eti-Osa,Street 3 Ward 3 Eti-Osa,Commercial,6142381.94
2715,2715,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 8 Ward 2 Ifako-Ijaiye,Residential,12506824.52
2716,2716,Shomolu,Ward 2 Shomolu,Street 2 Ward 2 Shomolu,Residential,5876696.21
2717,2717,Apapa,Ward 3 Apapa,Street 9 Ward 3 Apapa,Commercial,21902482.11
2718,2718,Surulere,Ward 1 Surulere,Street 4 Ward 1 Surulere,Residential,14328439.69
2719,2719,Alimosho,Ward 1 Alimosho,Street 1 Ward 1 Alimosho,Residential,4709937.72
2720,2720,Victoria Island,Ward 4 Victoria Island,Street 2 Ward 4 Victoria Island,Commercial,42607948.83
2721,2721,Yaba,Ward 1 Yaba,Street 6 Ward 1 Yaba,Commercial,13808957.59
2722,2722,Mushin,Ward 1 Mushin,Street 8 Ward 1 Mushin,Residential,3671771.46
2723,2723,Alimosho,Ward 4 Alimosho,Street 10 Ward 4 Alimosho,Commercial,2342381.93
2724,2724,Ikeja,Ward 3 Ikeja,Street 9 Ward 3 Ikeja,Commercial,10107523.09
2725,2725,Apapa,Ward 4 Apapa,Street 2 Ward 4 Apapa,Commercial,7955537.56
2726,2726,Victoria Island,Ward 3 Victoria Island,Street 1 Ward 3 Victoria Island,Commercial,28869750.38
2727,2727,Badagry,Ward 2 Badagry,Street 4 Ward 2 Badagry,Residential,12198766.89
2728,2728,Shomolu,Ward 1 Shomolu,Street 10 Ward 1 Shomolu,Commercial,6625444.12
2729,2729,Victoria Island,Ward 3 Victoria Island,Street 8 Ward 3 Victoria Island,Residential,57013085.35
2730,2730,Alimosho,Ward 4 Alimosho,Street 6 Ward 4 Alimosho,Commercial,6975887.79
2731,2731,Yaba,Ward 5 Yaba,Street 7 Ward 5 Yaba,Commercial,14755309.79
2732,2732,Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 4 Ward 1 Amuwo-Odofin,Residential,10433320.5
2733,2733,Epe,Ward 4 Epe,Street 10 Ward 4 Epe,Commercial,18475892.1
2734,2734,Ikorodu,Ward 4 Ikorodu,Street 6 Ward 4 Ikorodu,Commercial,9982297.15
2735,2735,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 7 Ward 5 Oshodi-Isolo,Commercial,3766780.64
2736,2736,Alimosho,Ward 5 Alimosho,Street 2 Ward 5 Alimosho,Commercial,1353889.94
2737,2737,Lekki,Ward 4 Lekki,Street 3 Ward 4 Lekki,Commercial,56846932.58
2738,2738,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,Residential,2984727.3
2739,2739,Badagry,Ward 2 Badagry,Street 9 Ward 2 Badagry,Residential,9727503.33
2740,2740,Shomolu,Ward 3 Shomolu,Street 3 Ward 3 Shomolu,Residential,13840800.78
2741,2741,Eti-Osa,Ward 4 Eti-Osa,Street 7 Ward 4 Eti-Osa,Residential,34513797.38
2742,2742,Eti-Osa,Ward 4 Eti-Osa,Street 3 Ward 4 Eti-Osa,Residential,14162334.02
2743,2743,Alimosho,Ward 2 Alimosho,Street 7 Ward 2 Alimosho,Residential,3243030.84
2744,2744,Somolu,Ward 2 Somolu,Street 8 Ward 2 Somolu,Commercial,12848615.02
2745,2745,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 8 Ward 4 Oshodi-Isolo,Residential,18061185.36
2746,2746,Alimosho,Ward 1 Alimosho,Street 5 Ward 1 Alimosho,Residential,6947037.92
2747,2747,Apapa,Ward 4 Apapa,Street 1 Ward 4 Apapa,Residential,15675002.36
2748,2748,Surulere,Ward 1 Surulere,Street 4 Ward 1 Surulere,Residential,18702342.02
2749,2749,Ajah,Ward 4 Ajah,Street 2 Ward 4 Ajah,Commercial,5952263.57
2750,2750,Ajah,Ward 5 Ajah,Street 2 Ward 5 Ajah,Commercial,7129142.35
2751,2751,Mushin,Ward 2 Mushin,Street 3 Ward 2 Mushin,Residential,13218520.08
2752,2752,Epe,Ward 1 Epe,Street 4 Ward 1 Epe,Residential,21293365.56
2753,2753,Ajah,Ward 2 Ajah,Street 6 Ward 2 Ajah,Commercial,9363366.05
2754,2754,Somolu,Ward 4 Somolu,Street 2 Ward 4 Somolu,Residential,3861909.84
2755,2755,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 6 Ward 3 Amuwo-Odofin,Commercial,2945723.17
2756,2756,Ikeja,Ward 3 Ikeja,Street 1 Ward 3 Ikeja,Commercial,17144441.68
2757,2757,Agege,Ward 3 Agege,Street 6 Ward 3 Agege,Residential,13122791.29
2758,2758,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 2 Ward 5 Oshodi-Isolo,Residential,8473542.45
2759,2759,Somolu,Ward 4 Somolu,Street 1 Ward 4 Somolu,Commercial,17993136.85
2760,2760,Badagry,Ward 2 Badagry,Street 6 Ward 2 Badagry,Commercial,14808555.99
2761,2761,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,Commercial,22352974.94
2762,2762,Eti-Osa,Ward 3 Eti-Osa,Street 5 Ward 3 Eti-Osa,Commercial,4228653.81
2763,2763,Ikorodu,Ward 5 Ikorodu,Street 6 Ward 5 Ikorodu,Residential,12032689.4
2764,2764,Surulere,Ward 1 Surulere,Street 3 Ward 1 Surulere,Residential,13781627.95
2765,2765,Lekki,Ward 3 Lekki,Street 3 Ward 3 Lekki,Commercial,16960228.28
2766,2766,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 5 Ward 3 Amuwo-Odofin,Residential,17740679.99
2767,2767,Agege,Ward 2 Agege,Street 5 Ward 2 Agege,Commercial,888269.51
2768,2768,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 8 Ward 3 Oshodi-Isolo,Commercial,24515209.82
2769,2769,Yaba,Ward 2 Yaba,Street 7 Ward 2 Yaba,Residential,18926666.99
2770,2770,Apapa,Ward 2 Apapa,Street 8 Ward 2 Apapa,Residential,19754669.47
2771,2771,Alimosho,Ward 1 Alimosho,Street 4 Ward 1 Alimosho,Residential,3340660.43
2772,2772,Agege,Ward 4 Agege,Street 10 Ward 4 Agege,Residential,5893091.58
2773,2773,Somolu,Ward 2 Somolu,Street 2 Ward 2 Somolu,Commercial,14279320.89
2774,2774,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 9 Ward 5 Ifako-Ijaiye,Residential,1632740.11
2775,2775,Apapa,Ward 3 Apapa,Street 5 Ward 3 Apapa,Commercial,16729075.62
2776,2776,Lekki,Ward 4 Lekki,Street 8 Ward 4 Lekki,Residential,33447201.63
2777,2777,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 1 Ward 1 Ifako-Ijaiye,Commercial,14247859.52
2778,2778,Agege,Ward 4 Agege,Street 10 Ward 4 Agege,Residential,9218094.75
2779,2779,Shomolu,Ward 4 Shomolu,Street 2 Ward 4 Shomolu,Commercial,10897090.21
2780,2780,Surulere,Ward 2 Surulere,Street 5 Ward 2 Surulere,Commercial,21527351.92
2781,2781,Apapa,Ward 3 Apapa,Street 7 Ward 3 Apapa,Commercial,4659098.1
2782,2782,Ikeja,Ward 1 Ikeja,Street 2 Ward 1 Ikeja,Residential,9942869.11
2783,2783,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 1 Ward 1 Ifako-Ijaiye,Commercial,12759782.49
2784,2784,Ikeja,Ward 5 Ikeja,Street 3 Ward 5 Ikeja,Commercial,8054517.5
2785,2785,Yaba,Ward 3 Yaba,Street 8 Ward 3 Yaba,Commercial,14040125.77
2786,2786,Apapa,Ward 4 Apapa,Street 9 Ward 4 Apapa,Residential,15784172.66
2787,2787,Eti-Osa,Ward 4 Eti-Osa,Street 8 Ward 4 Eti-Osa,Commercial,29398257.34
2788,2788,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 10 Ward 5 Ifako-Ijaiye,Commercial,22988061.02
2789,2789,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 2 Ward 4 Ifako-Ijaiye,Commercial,10359743.96
2790,2790,Shomolu,Ward 4 Shomolu,Street 7 Ward 4 Shomolu,Residential,23737182.73
2791,2791,Ajah,Ward 5 Ajah,Street 7 Ward 5 Ajah,Commercial,17155492.29
2792,2792,Ikorodu,Ward 1 Ikorodu,Street 8 Ward 1 Ikorodu,Residential,4745486.7
2793,2793,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 10 Ward 1 Ifako-Ijaiye,Commercial,6544911.72
2794,2794,Yaba,Ward 4 Yaba,Street 5 Ward 4 Yaba,Commercial,13915927.04
2795,2795,Lekki,Ward 3 Lekki,Street 3 Ward 3 Lekki,Commercial,30274168.53
2796,2796,Victoria Island,Ward 5 Victoria Island,Street 8 Ward 5 Victoria Island,Residential,49413834.44
2797,2797,Yaba,Ward 2 Yaba,Street 4 Ward 2 Yaba,Residential,9130623.53
2798,2798,Badagry,Ward 4 Badagry,Street 3 Ward 4 Badagry,Residential,10000055.06
2799,2799,Somolu,Ward 3 Somolu,Street 8 Ward 3 Somolu,Residential,11856767.48
2800,2800,Eti-Osa,Ward 3 Eti-Osa,Street 2 Ward 3 Eti-Osa,Commercial,6608014.47
2801,2801,Shomolu,Ward 2 Shomolu,Street 6 Ward 2 Shomolu,Residential,5270624.61
2802,2802,Epe,Ward 2 Epe,Street 3 Ward 2 Epe,Residential,24366359.02
2803,2803,Victoria Island,Ward 4 Victoria Island,Street 8 Ward 4 Victoria Island,Residential,46917326.79
2804,2804,Epe,Ward 1 Epe,Street 3 Ward 1 Epe,Residential,4988098.83
2805,2805,Eti-Osa,Ward 4 Eti-Osa,Street 5 Ward 4 Eti-Osa,Commercial,10365937.0
2806,2806,Eti-Osa,Ward 4 Eti-Osa,Street 2 Ward 4 Eti-Osa,Commercial,1846485.62
2807,2807,Mushin,Ward 4 Mushin,Street 7 Ward 4 Mushin,Commercial,25083601.79
2808,2808,Shomolu,Ward 5 Shomolu,Street 7 Ward 5 Shomolu,Commercial,9090029.22
2809,2809,Ikorodu,Ward 3 Ikorodu,Street 3 Ward 3 Ikorodu,Residential,4837106.01
2810,2810,Somolu,Ward 3 Somolu,Street 3 Ward 3 Somolu,Residential,26711263.51
